Order Date,Product,Quantity Ordered,Price Each,Order ID,Purchase Address
12/30/19 00:01,Macbook Pro Laptop,1.0,1700.0,295665.0,"136 Church St, New York City, NY 10001"
12/29/19 07:03,LG Washing Machine,1.0,600.0,295666.0,"562 2nd St, New York City, NY 10001"
12/22/19 15:13,27in FHD Monitor,1.0,149.99,295668.0,"410 6th St, San Francisco, CA 94016"
12/28/19 11:51,AAA Batteries (4-pack),4.0,2.99,295674.0,"77 7th St, Dallas, TX 75001"
12/28/19 17:19,ThinkPad Laptop,1.0,999.99,295676.0,"410 Lincoln St, Los Angeles, CA 90001"
12/25/19 12:37,Google Phone,1.0,600.0,295681.0,"79 Elm St, Boston, MA 02215"
12/04/19 12:29,AAA Batteries (4-pack),4.0,2.99,295684.0,"936 Church St, San Francisco, CA 94016"
12/10/19 00:38,Apple Airpods Headphones,1.0,150.0,295687.0,"531 Ridge St, Boston, MA 02215"
12/08/19 11:21,Apple Airpods Headphones,1.0,150.0,295688.0,"546 Park St, Los Angeles, CA 90001"
12/24/19 11:21,LG Washing Machine,1.0,600.0,295689.0,"173 Lake St, San Francisco, CA 94016"
12/04/19 00:44,Apple Airpods Headphones,1.0,150.0,295690.0,"174 Cedar St, Seattle, WA 98101"
12/15/19 07:38,ThinkPad Laptop,1.0,999.99,295697.0,"742 River St, San Francisco, CA 94016"
12/13/19 14:32,Vareebadd Phone,1.0,400.0,295698.0,"175 1st St, New York City, NY 10001"
12/12/19 20:08,AAA Batteries (4-pack),3.0,2.99,295706.0,"599 Hill St, Los Angeles, CA 90001"
12/13/19 14:55,27in FHD Monitor,1.0,149.99,295708.0,"846 9th St, Boston, MA 02215"
12/10/19 20:02,Macbook Pro Laptop,1.0,1700.0,295712.0,"331 Madison St, New York City, NY 10001"
12/31/19 07:39,iPhone,1.0,700.0,295714.0,"826 Hickory St, Los Angeles, CA 90001"
12/25/19 09:51,Macbook Pro Laptop,1.0,1700.0,295717.0,"82 10th St, San Francisco, CA 94016"
12/24/19 18:51,27in FHD Monitor,1.0,149.99,295719.0,"334 2nd St, Los Angeles, CA 90001"
12/08/19 18:22,34in Ultrawide Monitor,1.0,379.99,295721.0,"915 1st St, Seattle, WA 98101"
12/05/19 15:01,AAA Batteries (4-pack),3.0,2.99,295725.0,"911 River St, San Francisco, CA 94016"
12/25/19 14:49,iPhone,1.0,700.0,295726.0,"203 Lakeview St, Boston, MA 02215"
12/21/19 19:21,27in FHD Monitor,1.0,149.99,295728.0,"366 Washington St, New York City, NY 10001"
12/28/19 21:58,34in Ultrawide Monitor,1.0,379.99,295729.0,"432 1st St, Dallas, TX 75001"
12/14/19 20:04,34in Ultrawide Monitor,1.0,379.99,295730.0,"574 West St, San Francisco, CA 94016"
12/29/19 18:44,Apple Airpods Headphones,1.0,150.0,295732.0,"860 Washington St, Boston, MA 02215"
12/20/19 11:31,27in FHD Monitor,1.0,149.99,295733.0,"228 5th St, Boston, MA 02215"
12/22/19 18:25,iPhone,1.0,700.0,295735.0,"374 Lincoln St, New York City, NY 10001"
12/22/19 18:25,Apple Airpods Headphones,1.0,150.0,295735.0,"374 Lincoln St, New York City, NY 10001"
12/19/19 08:51,iPhone,1.0,700.0,295737.0,"966 10th St, Atlanta, GA 30301"
12/02/19 21:39,Apple Airpods Headphones,1.0,150.0,295741.0,"829 Johnson St, Boston, MA 02215"
12/09/19 23:45,Apple Airpods Headphones,1.0,150.0,295742.0,"368 Sunset St, New York City, NY 10001"
12/24/19 10:38,Flatscreen TV,1.0,300.0,295745.0,"124 Lakeview St, New York City, NY 10001"
12/27/19 16:14,27in FHD Monitor,1.0,149.99,295746.0,"143 Adams St, New York City, NY 10001"
12/10/19 21:50,AA Batteries (4-pack),3.0,3.84,295747.0,"11 8th St, San Francisco, CA 94016"
12/11/19 12:29,Google Phone,1.0,600.0,295752.0,"341 Forest St, Dallas, TX 75001"
12/25/19 06:26,34in Ultrawide Monitor,1.0,379.99,295753.0,"365 Washington St, Dallas, TX 75001"
12/21/19 06:52,Apple Airpods Headphones,1.0,150.0,295755.0,"32 1st St, Boston, MA 02215"
12/02/19 22:44,34in Ultrawide Monitor,1.0,379.99,295756.0,"20 Wilson St, Atlanta, GA 30301"
12/04/19 08:16,iPhone,1.0,700.0,295762.0,"342 9th St, New York City, NY 10001"
12/18/19 13:15,27in FHD Monitor,1.0,149.99,295763.0,"594 4th St, Los Angeles, CA 90001"
